symbol,time,bar_time,price,matrix_price,future_price,future_return,proj_m1,proj_m5,proj_m15,proj_h1,proj_d1,proj_w1,matrix_lo,matrix_hi,elapsed_frac,remaining_min,atr,confidence,n_tf,source,broker_symbol,m1_bars,m15_bars,h1_bars,d1_bars,w1_bars
EURUSD,2026.08.21 12:36,2026.08.21 12:30,1.14065,1.14094207491177,1.14094207491177,0.00025606006379702746,1.1406723927721876,1.140659158847595,1.140664542411732,1.1407075719211592,1.1410609383488648,1.1444941945022886,1.14084014991177,1.14104399991177,0.40375363666666664,8.94369545,0.0002157142857143032,0.35,6,live+historic,EURUSD,800,1200,500,400,200
USDJPY,2026.08.21 12:36,2026.08.21 12:30,163.126,163.06469058123096,163.06469058123096,-0.00037584087618799066,163.13450142462014,163.12407818546654,163.1276162047954,163.11901486045164,162.96289906594416,162.35480432719487,163.05146058123097,163.07792058123096,0.40375363666666664,8.94369545,0.027999999999997676,0.35,6,live+historic,USDJPY,800,1200,500,400,200
AUDUSD,2026.08.21 12:36,2026.08.21 12:30,0.6987,0.6987517035984779,0.6987517035984779,7.399971157570906e-05,0.6986801750154624,0.6987048512642673,0.6987072060198732,0.6988506132747277,0.6981276108754387,0.7001656138451335,0.698607253598478,0.6988961535984779,0.40375363666666664,8.94369545,0.00030571428571429804,0.35,6,live+historic,AUDUSD,800,1200,500,400,200
GBPUSD,2026.08.21 12:36,2026.08.21 12:30,1.33684,1.3369383024197439,1.3369383024197439,7.353342190826527e-05,1.3368581138809736,1.3368500665181156,1.3368407635068813,1.336961739287987,1.3369587052669387,1.337838362925409,1.336777314919744,1.3370992899197438,0.40375363666666664,8.94369545,0.0003407142857143132,0.4862919332523841,6,live+historic,GBPUSD,800,1200,500,400,200
USDCAD,2026.08.21 12:36,2026.08.21 12:30,1.40893,1.4087337103486814,1.4087337103486814,-0.00013931824243828352,1.4089867339333022,1.408914237791999,1.4089255279175295,1.4089573996664875,1.4097871231450867,1.4039558273632302,1.4085416728486815,1.4089257478486814,0.40375363666666664,8.94369545,0.00040642857142853775,0.35,6,live+historic,USDCAD,800,1200,500,400,200
BTCUSD,2026.08.21 12:36,2026.08.21 12:30,65923.13,65937.6897598064,65937.6897598064,0.00022085965588087978,65932.75240356819,65925.47914411327,65918.70751326898,65932.07429700108,65530.436414153606,66760.69431686997,65884.1646223064,65991.21489730639,0.40375363666666664,8.94369545,113.28071428571067,0.35,6,live+historic,BTCUSD,800,1200,500,400,200
ETHUSD,2026.08.21 12:36,2026.08.21 12:30,1930.81,1929.506578257741,1929.506578257741,-0.0006750647356596111,1930.583516548624,1930.97208669521,1930.7445924119602,1930.7051273198763,1909.8622517115955,1945.089369100293,1926.556828257741,1932.456328257741,0.40375363666666664,8.94369545,6.2428571428571,0.35,6,live+historic,ETHUSD,800,1200,500,400,200
XRPUSD,2026.08.21 12:36,2026.08.21 12:30,1.1355,1.1371699242090587,1.1371699242090587,0.001470650998730744,1.1363884700758269,1.1358604658361462,1.1353498140983147,1.136006886145223,1.1299951866258027,1.1664781531645967,1.1354284242090587,1.1389114242090588,0.40375363666666664,8.94369545,0.0036857142857142605,0.35,6,live+historic,XRPUSD,800,1200,500,400,200
XAUUSD,2026.08.21 12:36,2026.08.21 12:30,4121.64,4125.6397596708,4125.6397596708,0.0009704291667394297,4122.892988434075,4122.234635317475,4122.29373547702,4123.2843298583675,4110.177877642055,4192.993103427088,4122.9336846708,4128.3458346708,0.40375363666666664,8.94369545,5.727142857142878,0.35,6,live+historic,XAUUSD,800,1200,500,400,200
