time,symbol,open,high,low,close,pat_score,pat_bias,pat_name,pat_engulfing,pat_doji,pat_hammer,pat_shooting_star,pat_harami,pat_morning_star,pat_evening_star,pat_marubozu
2026-07-21 04:15:00,EURUSD,1.14132,1.14165,1.14129,1.14147,100.0,1,pat_engulfing=100,100,0,0,0,0,0,0,0
2026-07-21 04:30:00,EURUSD,1.14146,1.14162,1.14126,1.14159,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 04:45:00,EURUSD,1.14158,1.14162,1.14143,1.14147,-100.0,-1,pat_harami=-100,0,0,0,0,-100,0,0,0
2026-07-21 05:00:00,EURUSD,1.14146,1.14161,1.14146,1.14151,100.0,1,pat_harami=100,0,0,0,0,100,0,0,0
2026-07-21 05:15:00,EURUSD,1.1415,1.14163,1.14136,1.14136,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 05:30:00,EURUSD,1.14136,1.14152,1.14135,1.14135,0.0,0,"pat_doji=100,pat_shooting_star=-100",0,100,0,-100,0,0,0,0
2026-07-21 05:45:00,EURUSD,1.14135,1.14135,1.14105,1.14111,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 06:00:00,EURUSD,1.14111,1.14128,1.1409,1.14097,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 06:15:00,EURUSD,1.14098,1.14117,1.14093,1.14111,100.0,1,pat_harami=100,0,0,0,0,100,0,0,0
2026-07-21 06:30:00,EURUSD,1.14111,1.14132,1.1411,1.14129,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 06:45:00,EURUSD,1.14129,1.14154,1.14123,1.14124,-100.0,-1,pat_shooting_star=-100,0,0,0,-100,0,0,0,0
2026-07-21 07:00:00,EURUSD,1.14124,1.14152,1.14121,1.14149,100.0,1,pat_engulfing=100,100,0,0,0,0,0,0,0
2026-07-21 07:15:00,EURUSD,1.14149,1.14157,1.14145,1.14146,-100.0,-1,pat_shooting_star=-100,0,0,0,-100,0,0,0,0
2026-07-21 07:30:00,EURUSD,1.14148,1.14168,1.14147,1.14166,100.0,1,pat_marubozu=100,0,0,0,0,0,0,0,100
2026-07-21 07:45:00,EURUSD,1.14166,1.14182,1.14161,1.1418,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 08:00:00,EURUSD,1.14178,1.14192,1.14158,1.14161,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 08:15:00,EURUSD,1.14161,1.14177,1.14161,1.14173,100.0,1,pat_harami=100,0,0,0,0,100,0,0,0
2026-07-21 08:30:00,EURUSD,1.14173,1.14219,1.14173,1.14216,100.0,1,pat_marubozu=100,0,0,0,0,0,0,0,100
2026-07-21 08:45:00,EURUSD,1.14215,1.14216,1.14171,1.14178,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 09:00:00,EURUSD,1.14174,1.14204,1.14174,1.14192,100.0,1,pat_harami=100,0,0,0,0,100,0,0,0
2026-07-21 09:15:00,EURUSD,1.14193,1.1422,1.14188,1.14201,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 09:30:00,EURUSD,1.14204,1.14226,1.1419,1.1422,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 09:45:00,EURUSD,1.14221,1.14237,1.142,1.14213,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 10:00:00,EURUSD,1.14213,1.14268,1.14213,1.14221,100.0,1,pat_engulfing=100,100,0,0,0,0,0,0,0
2026-07-21 10:15:00,EURUSD,1.1422,1.14278,1.14219,1.14242,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 10:30:00,EURUSD,1.14242,1.14252,1.1422,1.14226,-100.0,-1,pat_harami=-100,0,0,0,0,-100,0,0,0
2026-07-21 10:45:00,EURUSD,1.14225,1.14235,1.14205,1.14229,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 11:00:00,EURUSD,1.14229,1.14239,1.1421,1.14231,100.0,1,pat_doji=100,0,100,0,0,0,0,0,0
2026-07-21 11:15:00,EURUSD,1.14232,1.14263,1.1422,1.14225,-100.0,-1,"pat_engulfing=-100,pat_shooting_star=-100",-100,0,0,-100,0,0,0,0
